100
fc3 320 b24 d3d 3f1 5ba e4e 533
4 1 35 32 6 7 3 1
721 169 331 b79 3b0 131 3a1 a91
1 5 20 46 7 7 4 1
c2f 9d8 1a0 3b8 5a8 7f0 b40 3f0
3 4 32 42 6 8 4 1
5f3 d38 df3 378 eaa 7f9 a0f 5b2
4 5 29 31 7 9 2 1
980 7a0 858 3e8 b30 9d8 8b0 908
1 1 20 30 10 10 4 1
1e8 c32 760 b18 560 c36 7a8 338
4 4 34 49 7 6 3 1
320 aa8 178 c2a 728 170 c25 170
2 5 25 31 9 8 2 1
139 1f0 949 130 521 5e0 c34 331
4 1 28 30 10 7 3 1
c39 a81 530 c2a 128 820 be8 130
1 3 25 37 9 7 2 1
9a1 a89 530 1b9 828 c35 770 5b8
1 2 31 45 8 6 3 1
ed6 a4f e53 d67 5fb 7e9 912 720
3 3 22 46 9 6 2 1
b76 722 fc9 5f9 e73 770 f8d da2
2 1 25 46 8 10 3 1
7b9 f83 bf1 8e9 5b9 731 579 919
4 5 30 36 6 9 2 1
168 859 329 c70 539 c74 5e1 769
5 2 24 44 6 9 3 1
171 9f1 379 1a9 c72 851 7f0 5e8
3 2 23 39 7 7 3 1
c25 980 728 330 7a0 778 c2d 9d8
1 2 35 32 6 8 2 1
bc8 a19 379 1b8 c62 5b8 a68 371
2 1 30 48 6 9 2 1
ef4 5b8 5b2 b46 ec2 9b9 b34 d2e
1 2 37 44 7 6 4 1
178 3a8 8b8 c33 738 800 8d0 c3b
2 4 28 38 8 7 3 1
1a9 c77 7f1 3e1 1a9 730 aa8 339
4 1 39 33 7 6 3 1
c2f 738 c23 a89 568 9a8 c22 778
4 3 23 40 8 9 3 1
330 120 ad8 1e8 c30 530 1f8 970
3 3 26 50 6 9 2 1
c31 7b8 720 a38 3f8 c3b 7f8 c7f
1 4 38 45 7 6 3 1
7b8 b30 520 1a0 850 8b8 aa0 3f0
3 1 24 41 7 6 4 1
d24 d3e af7 532 958 ff3 e6c 769
4 2 29 48 7 6 4 1
3b0 3a0 3a0 c38 570 1e8 c2d 738
2 1 20 38 10 6 2 1
178 c37 5e0 120 360 338 5f8 3f8
2 5 35 50 7 6 4 1
bc0 720 a28 338 728 c33 370 b00
1 1 28 43 8 9 3 1
a64 5ea a75 d6f ad5 370 a14 3a9
3 3 25 33 8 7 2 1
990 9b8 3b1 a18 9c8 5f9 320 ad8
2 1 33 33 6 7 4 1
950 990 170 898 bc8 138 5f0 a10
3 1 29 48 6 10 2 1
128 7a8 3a0 c31 570 730 7b8 120
1 1 37 44 8 7 2 1
778 768 5a0 360 ac8 9f8 3f0 b48
5 1 36 43 10 8 4 1
c3d 1f0 360 c3a 5f0 a38 7b1 160
3 5 27 40 7 10 3 1
b74 560 df1 a66 1f2 a55 e1b 989
3 4 40 49 6 7 3 1
330 1f8 c71 729 7f1 7a9 7a9 530
3 2 35 40 8 9 2 1
371 af0 1f0 c6a 130 3e9 838 5f0
1 1 39 40 6 6 3 1
5b9 369 8c1 3b9 ae8 570 c34 760
4 3 38 40 6 9 2 1
a30 7a0 3e1 5f0 979 1f1 721 571
5 1 21 44 8 6 3 1
5b0 c27 1f0 8e0 5a8 a88 560 5a0
2 1 23 45 8 6 3 1
a48 170 5f8 960 7a0 7e0 7a0 c38
2 1 34 38 10 10 4 1
c64 c39 960 528 8a0 178 c3e 918
1 1 28 46 9 6 4 1
738 3a0 378 be0 3a8 bd8 9a0 8c8
5 4 35 31 7 9 3 1
c27 368 128 c20 5f0 c26 760 960
1 5 26 38 7 7 2 1
572 d62 a97 fed 858 d78 a2f 7b1
4 3 23 35 7 10 2 1
c34 9b0 808 368 5b8 1b0 5a8 160
1 3 40 33 7 10 3 1
dab e92 368 df5 129 a95 bc6 e36
4 2 20 38 9 8 2 1
1b0 360 538 528 bc0 7a8 730 960
4 1 35 47 8 6 3 1
729 b60 361 338 c31 5b1 1a0 c77
1 5 22 43 8 9 2 1
dbd 3e0 523 d61 332 a85 3a1 b87
5 2 40 34 9 7 2 1
560 7a0 5b8 5b8 7f8 129 b61 3b0
1 5 40 43 7 8 3 1
539 730 5e9 721 3e9 331 1f9 b41
3 2 40 43 7 8 3 1
bf8 5e8 128 c31 168 5a8 5a0 570
5 2 25 38 7 9 2 1
520 b90 3f8 770 7a8 ed1 5b0 c28
2 4 28 40 10 7 3 1
f54 b4d 579 df2 f3d b2f bcd 860
4 4 25 50 6 7 2 1
7a0 320 bd8 7b8 3e0 b50 1e0 c3b
3 1 29 30 9 6 4 1
9a8 b74 afe f0b 561 abc a94 d29
2 4 24 39 10 7 2 1
7b0 c22 940 3a0 570 c2c 3a0 5e8
4 5 25 41 8 8 2 1
928 1f0 3f0 1a0 1a0 c30 1b0 aa8
3 2 33 49 8 6 3 1
c2d 928 c22 7b0 3b0 5b8 a88 8c8
3 2 35 44 8 6 3 1
5a1 7a0 8e8 898 378 3b0 c29 379
4 4 38 44 9 8 3 1
9f8 bc9 bd0 539 3a0 8e1 7a1 b98
1 1 36 41 7 10 3 1
560 a28 5e0 7b8 1f8 370 178 a68
1 2 27 34 8 9 2 1
